detik ke,suhu air,suhu api,tekanan(bar),tegangan(V),bukaan katup
1,115.75,197.75,8.48,125,0.125
2,116,197,8.25,132.2,0.125
3,116,196,8.01,130.7,0.125
4,116.25,195.5,7.72,129,0.125
5,117.75,195.5,7.59,114.7,0.125
6,118,195,7.42,155.9,0.125
7,113,194.75,7.22,154.8,0.125
8,118.75,193.75,7.03,151.6,0.25
9,118.75,193.75,6.87,148.5,0.25
10,118.25,193,6.73,146,0.25
11,118,192.5,6.63,142.9,0.25
12,118.25,191.5,6.47,136.8,0.25
13,118.5,191.25,6.42,133.6,0.25
14,118.25,190.5,6.25,130.6,0.25
15,118.75,190.5,6.16,127.9,0.25
16,118.75,190,6.04,125.5,0.25
17,104,189.75,5.93,120.2,0.25
18,118.25,188.75,5.82,117.5,0.25
19,108,188.5,5.74,114.9,0.25
20,98,188,5.64,112.6,0.25
21,116.75,187.5,5.55,107.9,0.25
22,116.25,187.5,5.44,105.3,0.25
23,116.25,187,5.36,103.2,0.25
24,103,186.5,5.31,100.8,0.25
25,115,186.25,5.2,97.2,0.25
26,114.5,185.5,5.11,132.1,0.25
27,114,184.25,5.05,158,0.25
28,113.75,184.5,4.91,163.3,0.25
29,98,183.5,4.8,161.6,0.25
30,113,183.25,4.69,155,0.25
31,113,182.75,4.55,151.2,0.25
32,113,182.25,4.5,147.3,0.25
33,113,181.25,4.42,143.8,0.25
34,112.75,181,4.33,139.9,0.25
35,112.5,180,4.24,133.3,0.25
36,96,180,4.17,129.8,0.25
37,92,179.5,4.09,126.4,0.25
38,88,179,4.01,123,0.25
39,84,178.5,3.93,116.6,0.25
40,82,178,3.95,113.7,0.25
41,108.5,177.5,3.78,133.5,0.25
42,108.5,177,3.7,152.3,0.25
43,82,176,3.61,170.2,0.25
44,175.75,109.25,3.5,169.7,0.25
45,80,175.25,3.43,166.6,0.5
46,109.25,174.5,3.36,162.8,0.5
47,109.5,173.75,3.23,158.4,0.5
48,80,173.5,3.2,131.7,0.5
49,108.75,172.5,3.17,123,0.5
50,109,172,3.09,120.7,0.5
51,108.25,171.75,3.05,118.1,0.5
52,80,171.5,2.97,115.1,0.5
53,80,170.75,2.95,113.3,0.5
54,107.75,170.25,2.88,110.2,0.5
55,76,169,2.84,107.6,0.5
56,107.5,169.75,2.78,102.6,0.5
57,107.5,169.25,2.74,98,0.5
58,72,169.5,2.69,94.8,0.5
59,106.5,168.75,2.64,93,0.5
60,64,167.5,2.52,95.7,0.5
61,105.75,167.5,2.5,93.9,0.5
62,,, ,,
63,,,,,
64,,,,,
65,,,,,
66,,,,,
67,,,,,
68,,,,,
69,,,,,
70,,,,,
71,,,,,
72,,,,,
73,,,,,
74,,,,,
75,,,,,
76,,,,,
77,,,,,
78,,,,,
79,,,,,
80,,,,,
81,,,,,
82,,,,,
83,,,,,
84,,,,,
85,,,,,
86,,,,,
87,,,,,
88,,,,,
89,,,,,
90,,,,,
91,,,,,
92,,,,,
93,,,,,
94,,,,,
95,,,,,
96,,,,,
97,,,,,
98,,,,,
99,,,,,
