detik ke,suhu air,suhu api,tekanan(bar),tegangan(V),bukaan katup
10,118.25,246.75,8,130,0.25
20,119.5,247,5.5,373,0.25
30,121.75,250,5,333,0.25
40,123.25,253.25,4.5,255,0.25
50,124.25,256.75,4,200,0.25
60,122.25,259.5,3.5,244,0.25
70,119.5,260,3,316,0.5
80,120.5,260.5,2.5,307,0.5
90,118.75,262,2,207,0.5
100,113,260.5,1.5,200,0.5
110,109.75,257.5,1,90,0.5
120,105.25,254.5,0.5,30,0.5
130,*tidak dihitung,*tidak dihitu12ng,>0.5,22,1 per 2 - FULL
140,*tidak dihitung,*tidak dihitung,>0.5,16,1 per 2 - FULL
150,*tidak dihitung,*tidak dihitung,>0.5,0,1 per 2 - FULL
